Repository 1,Repository 2,Similarity Score
MinBZK/design-system,MinBZK/NL-design-system,0.8668104826360497
MinBZK/design-system,MinBZK/design-ops-rig,0.5190874216165341
MinBZK/design-system,minvws/nl-covid19-notification-app-design,0.5313009777831832
MinBZK/design-system,minvws/nl-covid19-dbco-app-design,0.5152086298824563
MinBZK/design-system,minvws/nl-covid19-coronacheck-app-design,0.5423224298340827
MinBZK/design-system,etalab/design,0.9354332546954476
MinBZK/Algoritmeregister,MinBZK/Algoritmeregister-Publicatiestandaard,0.6989386180328391
MinBZK/helm.regels.overheid.nl,MinBZK/regels.overheid.nl,0.8386527457291334
MinBZK/helm.regels.overheid.nl,MinBZK/helm.lab.regels.overheid.nl,0.8724184374329024
MinBZK/helm.regels.overheid.nl,MinBZK/regels.overheid.nl-discourse-theme,0.6026554578801833
MinBZK/woo-besluit-broncode-digid-app,MinBZK/woo-besluit-broncode-PLOOI,0.6930763092124818
MinBZK/woo-besluit-broncode-digid-app,MinBZK/woo-besluit-broncode-digid,0.9626063310973
MinBZK/Open-Source-Program-Office,MinBZK/office,0.5219352351099966
MinBZK/.github,minvws/.github,0.9194943768765316
MinBZK/.github,corona-warn-app/.github,0.8121058370794507
MinBZK/.github,CDCgov/cdcgov.github.io,0.5845758545308587
MinBZK/.github,CDCgov/.github,0.9415877669122756
MinBZK/.github,usagov/usagov.github.io,0.5008415732733014
MinBZK/.github,etalab/.github,0.9354332546954476
MinBZK/woo-besluit-broncode-PLOOI,MinBZK/woo-besluit-broncode-digid,0.7199997411428056
MinBZK/feedbackloop-overheid.nl,MinBZK/regels.overheid.nl,0.5201541332891666
MinBZK/regels.overheid.nl,MinBZK/helm.lab.regels.overheid.nl,0.7316561179778236
MinBZK/regels.overheid.nl,MinBZK/regels.overheid.nl-discourse-theme,0.7185995168432061
MinBZK/regels.overheid.nl,MinBZK/gegevensbijbesluiten.overheid.nl,0.5201541332891666
MinBZK/HvA-legal-annotation-tool-gzp,MinBZK/HvA-legal-annotation-tool-bs,0.7254774275002055
MinBZK/HvA-legal-annotation-tool-gzp,MinBZK/HvA-legal-annotation-tool-backend-json,0.6945258098635038
MinBZK/HvA-legal-annotation-tool-gzp,MinBZK/HvA-legal-annotation-tool-frontend-json,0.6879660819311515
MinBZK/HvA-legal-annotation-tool-gzp,MinBZK/HvA-legal-annotation-tool-B,0.8517496272380785
MinBZK/HvA-legal-annotation-tool-gzp,MinBZK/HvA-legal-annotation-tool-5.5,0.8517496272380785
MinBZK/HvA-legal-annotation-tool-bs,MinBZK/HvA-legal-annotation-tool-backend-json,0.6945258098635038
MinBZK/HvA-legal-annotation-tool-bs,MinBZK/HvA-legal-annotation-tool-frontend-json,0.6879660819311515
MinBZK/HvA-legal-annotation-tool-bs,MinBZK/HvA-legal-annotation-tool-B,0.8517496272380785
MinBZK/HvA-legal-annotation-tool-bs,MinBZK/HvA-legal-annotation-tool-5.5,0.8517496272380785
MinBZK/HvA-legal-annotation-tool-backend-json,MinBZK/HvA-legal-annotation-tool-frontend-json,0.8504958717909503
MinBZK/HvA-legal-annotation-tool-backend-json,MinBZK/HvA-legal-annotation-tool-B,0.815410758811371
MinBZK/HvA-legal-annotation-tool-backend-json,MinBZK/HvA-legal-annotation-tool-5.5,0.815410758811371
MinBZK/HvA-legal-annotation-tool-frontend-json,MinBZK/HvA-legal-annotation-tool-B,0.8077092844313667
MinBZK/HvA-legal-annotation-tool-frontend-json,MinBZK/HvA-legal-annotation-tool-5.5,0.8077092844313667
MinBZK/HvA-legal-annotation-tool-B,MinBZK/HvA-legal-annotation-tool-5.5,1.0000000000000002
MinBZK/logboek-dataverwerkingen,MinBZK/logboek-dataverwerkingen-logboek,0.9476033249600164
MinBZK/logboek-dataverwerkingen,MinBZK/logboek-dataverwerkingen-demo,0.853161730536831
MinBZK/helm.lab.regels.overheid.nl,MinBZK/regels.overheid.nl-discourse-theme,0.5257677328742396
MinBZK/ai-validation-infra,MinBZK/ai-validation,0.7656945983470289
MinBZK/ai-validation-infra,MinBZK/ai-validation-tad-poc,0.5322110649563874
MinBZK/ai-validation,MinBZK/ai-validation-tad-poc,0.6950696349501713
MinBZK/ai-validation,MinBZK/ai-assistant,0.504127306209243
MinBZK/poc-kijkdoos-wasm,MinBZK/poc-kijkdoos-wasm-models,0.8437532084919402
MinBZK/python-project-template,CDCgov/template,0.5486157757835877
MinBZK/logboek-dataverwerkingen-logboek,MinBZK/logboek-dataverwerkingen-demo,0.8084588925853426
MinBZK/amt,MinBZK/nlds-amt,0.6989386180328391
MinBZK/tad-conversion-tool-rust,MinBZK/tad-conversion-tool,0.8370319686192531
MinBZK/task-registry,BSI-Bund/TaSK,0.6071124628059058
MinBZK/task-registry,CDCgov/schema-registry,0.5637270827128951
MinBZK/NL-design-system,minvws/nl-covid19-notification-app-design,0.6274123465507042
MinBZK/NL-design-system,minvws/nl-covid19-dbco-app-design,0.6084089225403956
MinBZK/NL-design-system,minvws/nl-covid19-dbco-portal-design,0.5595806326395951
MinBZK/NL-design-system,minvws/nl-covid19-coronacheck-app-design,0.6404275589873597
MinBZK/NL-design-system,etalab/design,0.8108433509763714
MinBZK/mijn-bureau,MinBZK/mijn-bureau-portal,0.8578831867579391
MinBZK/docs,minvws/nl-covid19-coronacheck-provider-docs,0.5053401042565842
MinBZK/docs,minvws/generiekefuncties-docs,0.675581613959701
MinBZK/docs,CDCgov/fdns-ui-react-docs,0.5186500174538713
MinBZK/docs,CDCgov/Rnssp-templates-docs,0.5324972559967001
minvws/nl-covid19-notification-lab-android,minvws/nl-covid19-notification-app-coordination,0.5022293952811127
minvws/nl-covid19-notification-lab-android,minvws/nl-covid19-notification-app-design,0.5022293952811127
minvws/nl-covid19-notification-lab-android,minvws/nl-covid19-notification-lab-ios,0.7444155506293111
minvws/nl-covid19-notification-lab-android,minvws/nl-covid19-notification-app-android,0.7840280383925283
minvws/nl-covid19-notification-lab-android,minvws/nl-covid19-notification-app-backend,0.511756703505929
minvws/nl-covid19-notification-lab-android,minvws/nl-covid19-dbco-app-android,0.5265220338621116
minvws/nl-covid19-notification-lab-android,minvws/nl-covid19-coronacheck-app-android,0.5538889773366884
minvws/.github,minvws/AppCenter-Github-Action,0.5062757369958785
minvws/.github,corona-warn-app/.github,0.8176482000448491
minvws/.github,CDCgov/cdcgov.github.io,0.588565398034535
minvws/.github,CDCgov/.github,0.9480138026944764
minvws/.github,usagov/usagov.github.io,0.5042596570506875
minvws/.github,etalab/.github,0.941817287897414
minvws/nl-covid19-notification-app-coordination,minvws/nl-covid19-notification-app-design,0.6909092519102071
minvws/nl-covid19-notification-app-coordination,minvws/nl-covid19-notification-lab-ios,0.5022293952811127
minvws/nl-covid19-notification-app-coordination,minvws/nl-covid19-notification-app-website,0.6763910567931766
minvws/nl-covid19-notification-app-coordination,minvws/nl-covid19-notification-app-android,0.6866954061931027
minvws/nl-covid19-notification-app-coordination,minvws/nl-covid19-notification-app-community-website,0.5685695274342518
minvws/nl-covid19-notification-app-coordination,minvws/nl-covid19-notification-app-iccportal,0.6373124727294578
minvws/nl-covid19-notification-app-coordination,minvws/nl-covid19-notification-app-provenance,0.6516385499861415
minvws/nl-covid19-notification-app-coordination,minvws/nl-covid19-notification-app-backend,0.7040158232502645
minvws/nl-covid19-notification-app-coordination,minvws/nl-covid19-notification-app-ios,0.6866954061931027
minvws/nl-covid19-notification-app-coordination,minvws/nl-covid19-dbco-app-coordination,0.7057524910600114
minvws/nl-covid19-notification-app-coordination,minvws/nl-covid19-notification-app-statistics,0.6516385499861415
minvws/nl-covid19-notification-app-coordination,minvws/nl-covid19-coronacheck-app-coordination,0.7428940115006315
minvws/nl-covid19-notification-app-coordination,minvws/nl-kat-coordination,0.5090212021278143
minvws/nl-covid19-notification-app-design,minvws/nl-covid19-notification-lab-ios,0.5022293952811127
minvws/nl-covid19-notification-app-design,minvws/nl-covid19-notification-app-website,0.6763910567931766
minvws/nl-covid19-notification-app-design,minvws/nl-covid19-notification-app-android,0.6866954061931027
minvws/nl-covid19-notification-app-design,minvws/nl-covid19-notification-app-community-website,0.5685695274342518
minvws/nl-covid19-notification-app-design,minvws/nl-covid19-notification-app-iccportal,0.6373124727294578
minvws/nl-covid19-notification-app-design,minvws/nl-covid19-notification-app-provenance,0.6516385499861415
minvws/nl-covid19-notification-app-design,minvws/nl-covid19-notification-app-backend,0.7040158232502645
minvws/nl-covid19-notification-app-design,minvws/nl-covid19-notification-app-ios,0.6866954061931027
minvws/nl-covid19-notification-app-design,minvws/nl-covid19-dbco-app-design,0.7057524910600113
minvws/nl-covid19-notification-app-design,minvws/nl-covid19-notification-app-statistics,0.6516385499861415
minvws/nl-covid19-notification-app-design,minvws/nl-covid19-dbco-portal-design,0.5352050730324828
minvws/nl-covid19-notification-app-design,minvws/nl-covid19-coronacheck-app-design,0.7428940115006316
minvws/nl-covid19-notification-app-design,etalab/design,0.5441995715653988
minvws/nl-covid19-notification-lab-ios,minvws/nl-covid19-notification-app-backend,0.511756703505929
minvws/nl-covid19-notification-lab-ios,minvws/nl-covid19-notification-app-ios,0.7840280383925282
minvws/nl-covid19-notification-lab-ios,minvws/nl-covid19-dbco-app-ios,0.5265220338621116
minvws/nl-covid19-notification-lab-ios,minvws/nl-covid19-coronacheck-app-ios,0.5538889773366886
minvws/nl-covid19-notification-app-website,minvws/nl-covid19-notification-app-android,0.6722657573419455
minvws/nl-covid19-notification-app-website,minvws/nl-covid19-notification-app-community-website,0.8405929110445144
minvws/nl-covid19-notification-app-website,minvws/nl-covid19-notification-app-iccportal,0.6239205159652053
minvws/nl-covid19-notification-app-website,minvws/nl-covid19-notification-app-provenance,0.6379455568928788
minvws/nl-covid19-notification-app-website,minvws/nl-covid19-notification-app-backend,0.6892222174921053
minvws/nl-covid19-notification-app-website,minvws/nl-covid19-notification-app-ios,0.6722657573419455
minvws/nl-covid19-notification-app-website,minvws/nl-covid19-notification-app-statistics,0.6379455568928788
minvws/nl-covid19-notification-app-website,minvws/nl-covid19-coronacheck-website,0.6732744564022903
minvws/nl-covid19-notification-app-website,etalab/etalab-website,0.5012101373178605
minvws/nl-covid19-notification-app-android,minvws/nl-covid19-notification-app-community-website,0.5651018299596112
minvws/nl-covid19-notification-app-android,minvws/nl-covid19-notification-app-iccportal,0.6334255130075502
minvws/nl-covid19-notification-app-android,minvws/nl-covid19-notification-app-provenance,0.6476642157224631
minvws/nl-covid19-notification-app-android,minvws/nl-covid19-notification-app-backend,0.6997220407406589
minvws/nl-covid19-notification-app-android,minvws/nl-covid19-notification-app-ios,0.6825072606611943
minvws/nl-covid19-notification-app-android,minvws/nl-covid19-dbco-app-android,0.7092197552592591
minvws/nl-covid19-notification-app-android,minvws/nl-covid19-notification-app-statistics,0.6476642157224631
minvws/nl-covid19-notification-app-android,minvws/nl-covid19-coronacheck-app-android,0.7460827461788686
minvws/nl-covid19-notification-app-android,minvws/nl-rdo-app-android-modules,0.5186393155964831
minvws/nl-covid19-notification-app-android,corona-warn-app/cwa-app-android,0.5387403837204058
minvws/nl-covid19-notification-app-community-website,minvws/nl-covid19-notification-app-iccportal,0.5244631627755875
minvws/nl-covid19-notification-app-community-website,minvws/nl-covid19-notification-app-provenance,0.536252512756499
minvws/nl-covid19-notification-app-community-website,minvws/nl-covid19-notification-app-backend,0.5793553101582444
minvws/nl-covid19-notification-app-community-website,minvws/nl-covid19-notification-app-ios,0.5651018299596112
minvws/nl-covid19-notification-app-community-website,minvws/nl-covid19-notification-app-statistics,0.536252512756499
minvws/nl-covid19-notification-app-community-website,minvws/nl-covid19-coronacheck-website,0.5659497352391143
minvws/nl-covid19-notification-app-iccportal,minvws/nl-covid19-notification-app-provenance,0.6010881667444794
minvws/nl-covid19-notification-app-iccportal,minvws/nl-covid19-notification-app-backend,0.6494023113973333
minvws/nl-covid19-notification-app-iccportal,minvws/nl-covid19-notification-app-ios,0.6334255130075502
minvws/nl-covid19-notification-app-iccportal,minvws/nl-covid19-notification-app-statistics,0.6010881667444794
minvws/nl-covid19-notification-app-provenance,minvws/nl-covid19-notification-app-backend,0.6640001548129861
minvws/nl-covid19-notification-app-provenance,minvws/nl-covid19-notification-app-ios,0.6476642157224631
