Repository 1,Repository 2,Similarity Score
dataoverheid/ckanext-donl,dataoverheid/ckanext-dataoverheid,0.608291138911751
dataoverheid/ckanext-donl,etalab/ckanext-etalab,0.5975716818521916
dataoverheid/DCAT-AP-NL,dataoverheid/dcat-ap-donl-waardelijsten,0.5444241973961306
dataoverheid/DCAT-AP-NL,dataoverheid/dcat-ap-donl,0.6445516948282713
dataoverheid/DCAT-AP-NL,dataoverheid/readthedocs-dcat-ap-donl-1.1,0.5521329084504722
dataoverheid/DCAT-AP-NL,dataoverheid/readthedocs-dcat-ap-nl-1.1,0.8639328563344938
dataoverheid/waardelijsten,dataoverheid/dcat-ap-donl-waardelijsten,0.5634027299473424
dataoverheid/ckanext-dataoverheid,etalab/ckanext-etalab,0.5920107532078223
dataoverheid/dcat-ap-donl-waardelijsten,dataoverheid/dcat-ap-donl,0.8446555982467507
dataoverheid/dcat-ap-donl-waardelijsten,dataoverheid/readthedocs-dcat-ap-donl-1.1,0.723544993894098
dataoverheid/donlsync-mappings,dataoverheid/donlsync,0.7012706530598439
dataoverheid/dcat-ap-donl,dataoverheid/readthedocs-dcat-ap-donl-1.1,0.8566154008757635
dataoverheid/dcat-ap-donl,dataoverheid/readthedocs-dcat-ap-nl-1.1,0.5568493867682273
dataoverheid/readthedocs-dcat-ap-donl-1.1,dataoverheid/readthedocs-dcat-ap-nl-1.1,0.7368445557010364
usagov/usagov.github.io,etalab/.github,0.5929665624448411
usagov/usa.gov,usagov/1.USA.gov-Data,0.8826996589018176
usagov/usa.gov,usagov/1.usa.gov,1.0000000000000002
usagov/usa.gov,usagov/beta.usa.gov-static-form,0.5785452448981838
usagov/1.USA.gov-Data,usagov/1.usa.gov,0.8826996589018176
usagov/1.USA.gov-Data,usagov/beta.usa.gov-static-form,0.5106816903308953
usagov/vote-gov,usagov/vote-gov-static,0.7693697308138289
usagov/vote-gov,usagov/vote-gov-drupal,0.7693697308138289
usagov/vote-gov,usagov/vote-gov-nvrf-prototype,0.6291313477633376
usagov/vote-gov,usagov/vote-gov-nvrf-app,0.6516461104018832
usagov/vote-gov,usagov/vote-gov-tf,0.7305468256335294
usagov/vote-gov,usagov/vote-gov-pdf-tool,0.6033043308473911
usagov/vote-gov-static,usagov/vote-gov-drupal,0.5919297826925436
usagov/vote-gov-static,usagov/vote-gov-nvrf-app,0.5013567925457756
usagov/vote-gov-static,usagov/vote-gov-tf,0.5620606145845658
usagov/1.usa.gov,usagov/beta.usa.gov-static-form,0.5785452448981838
usagov/usagov-prototype,usagov/vote-gov-nvrf-prototype,0.5203351305065711
